Study ID,Study Class,Treatment Focus (Study level),Total N Randomized,Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Adjusted Variables in Statistical Analysis,Intervention Groups,NCPTSD Treatment Names,Assessment Point Category,Follow Up Assessment in Weeks,Analysis Type,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Score Difference 1 Detail,Score Difference 1 Value,Score Difference 1 Standard Deviation,Score Difference 1 95% CI Lower Bound,Score Difference 1 95% CI Upper Bound,Score Difference 2 Detail,Score Difference 2 Value,Score Difference 2 Standard Deviation,Score Difference 2 95% CI Lower Bound,Score Difference 2 95% CI Upper Bound,Diagnostic Change 1 Effect Size Detail,Diagnostic Change 1 Effect Size Type,Diagnostic Change 1 Effect Size Value,Diagnostic Change 1 Effect Size Type of Variance Measure,Diagnostic Change 1 Effect Size Variance Value or Lower Bound,Diagnostic Change 1 Effect Size Variance Upper Bound,Diagnostic Change 1 Effect Size p value,Clinically Meaningful Response 1 Effect Size Detail,Clinically Meaningful Response 1 Effect Size Type,Clinically Meaningful Response 1 Effect Size Value,Clinically Meaningful Response 1 Effect Size Type of Variance Measure,Clinically Meaningful Response 1 Effect Size Variance Value or Lower Bound,Clinically Meaningful Response 1 Effect Size Variance Upper Bound,Clinically Meaningful Response 1 Effect Size p value,Additional Data Reported,Military Status (Study level),Active Duty Military Percent (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
acarturk2016_HTQ_AvsB_0_ITT,Psychotherapy,PTSD,98,Self report,HTQ,HTQ (Arabic version),,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,End of Treatment,0,ITT,Group effect,omega-squared,0.43,,,,p<0.001,Mean estimated endpoint difference,,-0.96,95% CI,-1.18,-0.74,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acarturk2016_HTQ_AvsB_4_ITT,Psychotherapy,PTSD,98,Self report,HTQ,HTQ (Arabic version),,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,Assessment at <3 Months,4,ITT,Time effect,,,,,,p=0.268,Group x Time interaction,,,,,,p=0.254,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acarturk2016_IES_AvsB_0_ITT,Psychotherapy,PTSD,98,Self report,IES,IES-R (Arabic version),Baseline scores,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,End of Treatment,0,ITT,Group effect,omega-squared,0.52,,,,p<0.001,,,,,,,,Endpoint difference,-37.65,,-45.66,-29.63,,,,,,,OR,24.21,95% CI,6.59,88.98,p<0.001,,,,,,,,,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acarturk2016_IES_AvsB_4_ITT,Psychotherapy,PTSD,98,Self report,IES,IES-R (Arabic version),Baseline scores,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,Assessment at <3 Months,4,ITT,Time effect,,,,,,p=0.192,Group x Time interaction,,,,,,p=0.483,Endpoint difference: estimated mean difference,-34.5,,-43.25,-25.76,,,,,,,OR,22.56,95% CI,4.92,103.35,p<0.001,,,,,,,,,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acierno2017_PCL_AvsB_0_Comp,Psychotherapy,PTSD,150,Self report,PCL,PCL-M,,A vs B,Prolonged Exposure (PE) vs Prolonged Exposure (PE),End of Treatment,0,Completer,,Estimated effect size,-3.2,90% CI,-8.6,2.1,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_PCL_AvsB_12_Comp,Psychotherapy,PTSD,150,Self report,PCL,PCL-M,,A vs B,Prolonged Exposure (PE) vs Prolonged Exposure (PE),Assessment at 3 to <6 Months,12,Completer,,Estimated effect size,-2.8,90% CI,-7.6,2,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_PCL_AvsB_26_Comp,Psychotherapy,PTSD,150,Self report,PCL,PCL-M,,A vs B,Prolonged Exposure (PE) vs Prolonged Exposure (PE),Assessment at 6 to <12 Months,26,Completer,,Estimated effect size,0.03,90% CI,-4.9,5,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
adenauer2011_CAPS_AvsB_16_Comp,Psychotherapy,PTSD,34,Structured Clinical Interview,CAPS,CAPS,,A vs B,Narrative Exposure Therapy (NET) vs Waitlist,Assessment at 3 to <6 Months,16,Completer,Treatment x Time interaction,,,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.4412,,0.5588,Terrorism/political violence/forced displacement,,High,"Adenauer H, Catani C, Gola H, et al. Narrative exposure therapy for PTSD increases top-down processing of aversive stimuli -- evidence from a randomized controlled treatment trial. BMC Neurosci. 2011 Dec 19;12:127. doi: 10.1186/1471-2202-12-127. PMID: 22182346.",37889,2019
ahmadi2015_M-PTSD_AvsB_0_Comp,Mixed: Psychotherapy & CIH,PTSD,48,Self report,M-PTSD,M-PTSD (Persian version),,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Rapid Eye Movement (REM) Desentization,End of Treatment,0,Completer,,,,,,,p=0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active Duty Military,1,0,0,0,,1,Combat-related,,High,"Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.",46896,2019
ahmadi2015_M-PTSD_AvsC_0_Comp,Mixed: Psychotherapy & CIH,PTSD,48,Self report,M-PTSD,M-PTSD (Persian version),,A vs C,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,End of Treatment,0,Completer,,,,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active Duty Military,1,0,0,0,,1,Combat-related,,High,"Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.",46896,2019
